fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
Fritz Kreisler_Liebesleid (Love's Sorrow).wav,0.006086632609367371,0.06877563148736954,0.4283655881881714,0.05241568759083748,0.08339768648147583,0.06638241559267044,0.24533617496490479,0.0492401048541069,Folk
fun._We Are Young (feat. Janelle Monáe).wav,0.05832686647772789,0.15985894203186035,0.021529968827962875,0.08046986162662506,0.00011837751662824303,0.013819251209497452,0.148410826921463,0.5174658298492432,Rock
Gaullin_Moonlight.wav,0.163801372051239,0.16174250841140747,0.03168131783604622,0.3770042657852173,0.004880153574049473,0.10095987468957901,0.1151699349284172,0.0447605662047863,Hip-Hop
Gromee_Love You Better.wav,0.2045065015554428,0.07671897858381271,0.032894037663936615,0.10547978430986404,0.0016501133795827627,0.06028898060321808,0.15613563358783722,0.3623259365558624,Rock
HVAD_Bleeding Grey Wall.wav,0.24198448657989502,0.2203272432088852,0.07813479006290436,0.35540062189102173,0.001064338139258325,0.016902711242437363,0.06240042299032211,0.023785315454006195,Hip-Hop
Jason Derulo_Whatcha Say.wav,0.1392950713634491,0.06569798290729523,0.0651726946234703,0.2519528269767761,0.013190915808081627,0.09018074721097946,0.18665729463100433,0.1878523975610733,Hip-Hop
"Johann Sebastian Bach_Bach, JS  Fugue in G Major, BWV 577.wav",0.006076933350414038,0.20646928250789642,0.3990016281604767,0.0924065038561821,0.04479081928730011,0.05400443449616432,0.1214657574892044,0.0757846012711525,Folk
"Johann Sebastian Bach_Bach, JS  Orchestral Suite No. 3 in D Major, BWV 1068  II. Air.wav",0.019205467775464058,0.22396846115589142,0.16941559314727783,0.09579231590032578,0.06596527993679047,0.18313086032867432,0.17322605848312378,0.06929592043161392,Experimental
John Legend_All of Me.wav,0.01860518753528595,0.07760597765445709,0.3254205286502838,0.14590024948120117,0.037882015109062195,0.13068686425685883,0.18320217728614807,0.08069682121276855,Folk
Kara-Lis Coverdale_Grafts.wav,0.010255465283989906,0.10245294868946075,0.4763285219669342,0.11574572324752808,0.04300004988908768,0.12092335522174835,0.07875874638557434,0.052535153925418854,Folk
Keith Fullerton Whitman_Automatic Ping.wav,0.018115032464265823,0.4356811046600342,0.07594127207994461,0.10758533328771591,0.05904523655772209,0.24774417281150818,0.03298211470246315,0.02290576696395874,Experimental
Kodaline_All I Want.wav,0.06999696791172028,0.17024487257003784,0.20966900885105133,0.28190135955810547,0.0014740102924406528,0.03312919661402702,0.12539952993392944,0.10818519443273544,Hip-Hop
Koreless_LOVE.wav,0.05940944328904152,0.32144948840141296,0.11290436238050461,0.19008533656597137,0.06323791295289993,0.08751572668552399,0.11702992022037506,0.0483679436147213,Experimental
Led Zeppelin_Black Dog - Remaster.wav,0.012560551054775715,0.1622859686613083,0.12285596132278442,0.10977086424827576,0.01219466794282198,0.14251436293125153,0.13900704681873322,0.2988106608390808,Rock
Lil Nas X_Old Town Road - Remix.wav,0.24204672873020172,0.12677232921123505,0.02255937270820141,0.39991703629493713,0.00833271536976099,0.028792310506105423,0.11791393905878067,0.053665660321712494,Hip-Hop
Loreena McKennitt_All Souls Night.wav,0.03741590306162834,0.12052688747644424,0.16012528538703918,0.09422128647565842,0.002311726799234748,0.16333775222301483,0.20471955835819244,0.21734154224395752,Rock
Loreena McKennitt_La Serenissima.wav,0.009717115201056004,0.06972633302211761,0.26434722542762756,0.05902611464262009,0.11017880588769913,0.18700061738491058,0.17018325626850128,0.12982043623924255,Folk
Loreena McKennitt_Skellig.wav,0.020514361560344696,0.0865757018327713,0.21720263361930847,0.10618273913860321,0.019995015114545822,0.21938423812389374,0.10881399363279343,0.2213311791419983,Rock
Macklemore & Ryan Lewis_Can't Hold Us - feat. Ray Dalton.wav,0.15408261120319366,0.0864524319767952,0.1024114191532135,0.1983640193939209,0.0016969031421467662,0.034665241837501526,0.18671166896820068,0.2356155514717102,Rock
Macklemore & Ryan Lewis_Thrift Shop (feat. Wanz).wav,0.11557228863239288,0.07434701174497604,0.028718899935483932,0.4947631359100342,0.0188183281570673,0.1457652598619461,0.07257075607776642,0.049444422125816345,Hip-Hop
Major Lazer_Lean On (feat. MØ & DJ Snake).wav,0.10314340144395828,0.157787024974823,0.034454114735126495,0.18429851531982422,0.010526083409786224,0.266129732131958,0.18395136296749115,0.059709690511226654,International
Mark Ronson_Uptown Funk.wav,0.29936113953590393,0.07743708044290543,0.03905607387423515,0.2598456144332886,0.025505274534225464,0.0691341757774353,0.12763357162475586,0.10202713310718536,Electronic
Melnitsa_Королевна.wav,0.028903169557452202,0.1095406711101532,0.32106947898864746,0.07351427525281906,0.022812295705080032,0.221589133143425,0.16851763427257538,0.054053205996751785,Folk
Melnitsa_Оборотень.wav,0.03139619901776314,0.0817025750875473,0.17750145494937897,0.14823998510837555,0.0004751778324134648,0.06929747015237808,0.372153639793396,0.11923350393772125,Pop
Metallica_Nothing Else Matters.wav,0.13363288342952728,0.038531288504600525,0.07866650819778442,0.2545965015888214,0.02440214715898037,0.10137666761875153,0.193725124001503,0.1750689595937729,Hip-Hop
Michael Jackson_Billie Jean.wav,0.2026040107011795,0.12105228751897812,0.05809861794114113,0.23365192115306854,0.005742308218032122,0.08913061767816544,0.15238423645496368,0.13733623921871185,Hip-Hop
Michael Jackson_Smooth Criminal - 2012 Remaster.wav,0.1373489946126938,0.27463242411613464,0.03038710728287697,0.187043696641922,0.005665936041623354,0.05456860736012459,0.12780103087425232,0.18255238234996796,Experimental
ODESZA_A Moment Apart.wav,0.09906242042779922,0.08778626471757889,0.11693364381790161,0.08308997005224228,0.02935372292995453,0.05688759312033653,0.17562870681285858,0.35125765204429626,Rock
