fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred,preview_url,picture
Eivør_Verd Mín.wav,0.074990675,0.10377229800000001,0.13308826099999999,0.270604998,0.023163307,0.185168654,0.11166124,0.097550698,Hip-Hop,https://p.scdn.co/mp3-preview/21f8ded1e9f5e0e710afd62f58306ebf08b03874?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d1bf711267281458ad505059
Erik Satie_Gnossienne No. 1.wav,0.211574227,0.113188475,0.432770938,0.015361735,0.004467362,0.010001495,0.19797672300000002,0.014658822,Folk,https://p.scdn.co/mp3-preview/6418a3592ca5867758f997ca28ee6d820c86f25c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273770c4c05a2109ae4f55890db
Estudios Talkback_Mali Baile Tribal.wav,0.006861761,0.096149191,0.265524,0.114492685,0.021255438999999998,0.252013654,0.17249532,0.071207955,Folk,https://p.scdn.co/mp3-preview/e6e5883355d9886abb81ffc9c50fb5bf796dde99?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273575167aa032def46e16bbc60
Estudios Talkback_Zambia Varios Ritmos Tribales (Several Tribal Rhythms).wav,0.030406307,0.33765888200000005,0.102437131,0.246052265,0.015051262,0.146351844,0.086943246,0.035099212000000005,Experimental,https://p.scdn.co/mp3-preview/6aa672f557dfb8eccdbed0d97aa5b3e81eb847a7?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ad88675505c1fed6a48eb87d
Flo Rida_Whistle.wav,0.109894373,0.050622299,0.09326477300000001,0.32856124600000003,0.010175021999999999,0.1184863,0.17695497,0.112041056,Hip-Hop,https://p.scdn.co/mp3-preview/957b3f190456c949010b102381b6e3e6c05d61b6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09
Foster The People_Pumped Up Kicks.wav,0.020201908,0.11429256900000001,0.16296382199999998,0.185690761,0.001516859,0.040094197000000005,0.145658478,0.329581112,Rock,https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c03f8ef4160b2a3b72dd407d
Fritz Kreisler_Liebesleid (Love's Sorrow).wav,0.006086633,0.06877563099999999,0.42836558799999996,0.052415687999999995,0.083397686,0.066382416,0.245336175,0.049240105,Folk,https://p.scdn.co/mp3-preview/9ac4fdbd2ba86570c6359b3d8813ebd2f2b8d0c6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27359b37031252825cb38e28e37
fun._We Are Young (feat. Janelle Monáe).wav,0.058326866,0.159858942,0.021529969,0.080469862,0.000118378,0.013819251000000001,0.148410827,0.51746583,Rock,https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d583f60799ad73ff52b80218
Gaullin_Moonlight.wav,0.163801372,0.161742508,0.031681318,0.37700426600000003,0.004880154,0.100959875,0.115169935,0.044760565999999995,Hip-Hop,https://p.scdn.co/mp3-preview/4c93e5c40786de0b9cb2625c06981ebdbc32410d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27327debf71b0ed752777c118df
Gromee_Love You Better.wav,0.20450650199999998,0.076718979,0.032894038,0.10547978400000001,0.001650113,0.060288981,0.156135634,0.36232593700000004,Rock,https://p.scdn.co/mp3-preview/c9cead34c4833c0cd66ec7f829e399555a1aef47?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e6f375f224be68c91fef9160
HVAD_Bleeding Grey Wall.wav,0.241984487,0.220327243,0.07813479,0.35540062200000005,0.001064338,0.016902711,0.062400423,0.023785315,Hip-Hop,https://p.scdn.co/mp3-preview/6c21060816f9a95e352d4cc95219c8c2332cf8ef?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e49ebdf4486e26f6c154b5ec
Jason Derulo_Whatcha Say.wav,0.139295071,0.065697983,0.065172695,0.251952827,0.013190916,0.09018074699999999,0.186657295,0.187852398,Hip-Hop,https://p.scdn.co/mp3-preview/9c0288e332c151689bf465a3f8b52a6c9d056e3a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273291365c950592bee8e415f63
"Johann Sebastian Bach_Bach, JS  Fugue in G Major, BWV 577.wav",0.0060769330000000005,0.206469283,0.399001628,0.092406504,0.044790819,0.054004434000000004,0.121465757,0.075784601,Folk,https://p.scdn.co/mp3-preview/4f02238dec9f9ba1b5f1b06d8a41220b8b5bfc04?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273dc7638a4a14a235f79b9fec4
